m_bene,s_bene,genere,regione,provincia,comune,indirizzo,ufficio,distretto,procedura,fascicolo_tipo,categoria,sottocategoria,tipologia,destinatario,fine,utilizzo,decreto_numero,decreto_anno,decreto_data
A-AG-298459,A-AG-19260-S,aziende,Sicilia,Agrigento,Canicattì,VIA BARONE LOMBARDO,Procura della Repubblica,Marsala,12243/2006,Penale,Società a responsabilità limitata,"Attività immobiliari, noleggio, informatica, ricerca, servizi alle imprese",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,44691,2019,23/10/2019
A-AG-310641,,aziende,Sicilia,Agrigento,Bivona,"C.DA CASTELLUCCIO,",Tribunale,AGRIGENTO,36/2012,,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,44864,2015,26/11/2015
A-AG-310642,,aziende,Sicilia,Agrigento,Bivona,"C.DA MULINO DELLE MACCHINE - SS. 118 ,",Tribunale,AGRIGENTO,36/2012,,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,44855,2015,26/11/2015
A-AG-311747,A-AG-20862-S,aziende,Sicilia,Agrigento,Campobello di Licata,"VIA REGINA MARGHERITA, 167",Tribunale,AGRIGENTO,29/2014,Prevenzione,Impresa individuale,"Agricoltura, caccia e silvicoltura",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,46157,2015,03/12/2015
A-AG-312108,A-AG-49675-S,aziende,Sicilia,Agrigento,Favara,"VIA LEGNANO, 9",Procura della Repubblica,PALERMO,11381/2008,Penale,Impresa individuale,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,45822,2015,02/12/2015
A-AG-312109,A-AG-49676-S,aziende,Sicilia,Agrigento,Favara,"VIA BENEVENTO, 27",Procura della Repubblica,PALERMO,11381/2008,Penale,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,45798,2015,02/12/2015
A-AG-316905,A-AG-23424-S,aziende,Sicilia,Agrigento,Agrigento,"VIA SIRIO, 22",Tribunale,AGRIGENTO,58/2009,Prevenzione,Società in nome collettivo,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,26776,2016,15/06/2016
A-AG-316906,A-AG-23425-S,aziende,Sicilia,Agrigento,Agrigento,"VIA SIRIO, 22",Tribunale,AGRIGENTO,58/2009,Prevenzione,Impresa individuale,"Trasporti, magazzinaggio e comunicazioni",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,316906,2016,15/06/2016
A-AG-317009,A-AG-42317-S,aziende,Sicilia,Agrigento,Santo Stefano Quisquina,"VIA ROMA , 47",Tribunale,AGRIGENTO,9/2007,Prevenzione,Impresa individuale,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,26718,2016,15/06/2016
A-AG-319527,A-AG-22859-S,aziende,Sicilia,Agrigento,Favara,VIA BENEVENTO N. 27,Procura della Repubblica,Palermo,303/2010,Penale,Impresa individuale,Costruzioni,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,14244,2018,29/03/2018
A-AG-321502,A-AG-39454-S,aziende,Sicilia,Agrigento,Licata,VIA SERROVIRA,Procura della Repubblica,Palermo,1794/2005,Penale,Società a responsabilità limitata,Costruzioni,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,39070,2019,19/09/2019
A-AG-321504,A-AG-39456-S,aziende,Sicilia,Agrigento,Ravanusa,CONTRADA BARONE,Procura della Repubblica,Palermo,1794/2005,Penale,Società a responsabilità limitata,Costruzioni,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,50782,2019,28/11/2019
A-AG-321624,A-AG-40643-S,aziende,Sicilia,Agrigento,Porto Empedocle,"VIA NAPOLI,18",Tribunale,Agrigento,37/2011,Prevenzione,Impresa individuale,Costruzioni,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,44665,2019,23/10/2019
A-AG-332659,A-AG-63534-S,aziende,Sicilia,Agrigento,Realmonte,VIA ROMA 2,Procura della Repubblica,Palermo,8159/2010,Penale,Società in nome collettivo,Costruzioni,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,45047,2019,25/10/2019
A-AG-338240,A-AG-71016-S,aziende,Sicilia,Agrigento,Realmonte,via enna 17,Tribunale,Agrigento,11/2009,Prevenzione,Impresa individuale,"Agricoltura, caccia e silvicoltura",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,48214,2019,13/11/2019
A-AG-347384,A-AG-61065-S,aziende,Sicilia,Agrigento,Licata,"Via Borromini, 62",Tribunale,Agrigento,11/2011,Prevenzione,Impresa individuale,"Trasporti, magazzinaggio e comunicazioni",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,49137,2019,19/11/2019
A-AG-347385,A-AG-61066-S,aziende,Sicilia,Agrigento,Licata,Corso Serrovia 27/C,Tribunale,Agrigento,11/2011,Prevenzione,Società in accomandita semplice,"Trasporti, magazzinaggio e comunicazioni",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,49139,2019,19/11/2019
A-AG-347386,A-AG-61071-S,aziende,Sicilia,Agrigento,Licata,Corso Serrovia 27/C,Tribunale,Agrigento,11/2011,Prevenzione,Società in accomandita semplice,"Trasporti, magazzinaggio e comunicazioni",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,49140,2019,19/11/2019
A-AG-347701,A-AG-77196-S,aziende,Sicilia,Agrigento,Canicattì,Via Regina Elena n. 31,Tribunale,Agrigento,11/2012,Prevenzione,Associazione,"Agricoltura, caccia e silvicoltura",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,44661,2019,23/10/2019
A-AL-215363,A-AL-31327-S,aziende,Piemonte,Alessandria,Ovada,"CORSO SARACCO 5/5,",Procura della Repubblica,GENOVA,718/2006,Penale,Società a responsabilità limitata,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Vendita,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,30,2007,30/01/2007
A-AL-311568,A-AL-33632-S,aziende,Piemonte,Alessandria,Valenza,VIA NEBBIA 53,Tribunale,Alessandria,3/2014,Prevenzione,Società a responsabilità limitata,Attività manifatturiere,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,48409,2019,14/11/2019
A-AL-34553,,aziende,Piemonte,Alessandria,Casale Monferrato,"REGIONE ARGINE MALPENSATA N.15 15033,",Tribunale,TRAPANI,3/1996,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,325,2004,09/12/2004
A-AN-347846,A-AN-80198-S,aziende,Marche,Ancona,Jesi,Viale della Vittoriia 75,Procura della Repubblica,Santa Maria Capua Vetere,56063/2009,Penale,Società a responsabilità limitata,"Altri servizi pubblici, sociali e personali",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,21949,2021,14/04/2021
A-AR-321591,A-AR-39979-S,aziende,Toscana,Arezzo,Montevarchi,VIALE ARMANDO DIAZ 67,Tribunale,Catania,272/2009,Prevenzione,Impresa individuale,Costruzioni,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,1,2019,11/07/2019
A-AT-312124,A-AT-33655-S,aziende,Piemonte,Asti,Asti,"PIAZZA SAN GIUSEPPE, 1",Tribunale,TORINO,36/2013,Prevenzione,Società a responsabilità limitata,,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,33789,2015,23/09/2015
A-AV-296670,A-AV-4590-S,aziende,Campania,Avellino,Mugnano del Cardinale,VIA KENNEDY,Tribunale,Napoli,41/2012,Prevenzione,Società in accomandita semplice,"Attività immobiliari, noleggio, informatica, ricerca, servizi alle imprese",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,42762,2019,11/10/2019
A-AV-296671,A-AV-4591-S,aziende,Campania,Avellino,Mugnano del Cardinale,VIA DELL'UGUAGLIANZA,Tribunale,Napoli,41/2012,Prevenzione,Società a responsabilità limitata,"Attività immobiliari, noleggio, informatica, ricerca, servizi alle imprese",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,41702,2019,11/10/2019
A-AV-320154,A-AV-11957-S,aziende,Campania,Avellino,Sant'Angelo a Scala,VIA PONTE,Tribunale,Napoli,269/2005,Prevenzione,Società a responsabilità limitata,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,40730,2016,30/09/2016
A-AV-33705,,aziende,Campania,Avellino,,"VIA NAZIONALE,PALAZZO BOVE,",Corte d'Appello,NAPOLI,2/1996,,Società a responsabilità limitata,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,116,2000,03/07/2000
A-AV-348781,A-AV-79933-S,aziende,Campania,Avellino,Summonte,Via Borgonuovo 59,Procura della Repubblica,Napoli,59759/2004,Penale,Società a responsabilità limitata,Costruzioni,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,47114,2019,07/11/2019
A-AV-348782,A-AV-79934-S,aziende,Campania,Avellino,Summonte,Via Cappelle,Procura della Repubblica,Napoli,59759/2004,Penale,Società in nome collettivo,Costruzioni,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,47112,2019,07/11/2019
A-AV-348783,A-AV-79935-S,aziende,Campania,Avellino,Summonte,Via Cappelle 2,Procura della Repubblica,Napoli,59759/2004,Penale,Società in nome collettivo,Costruzioni,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,47106,2019,07/11/2019
A-AV-348785,A-AV-79937-S,aziende,Campania,Avellino,Avellino,Via Lorenzo Ferrante 128,Procura della Repubblica,Napoli,59759/2004,Penale,Società in accomandita semplice,Costruzioni,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,47107,2019,07/11/2019
A-AV-348786,A-AV-79938-S,aziende,Campania,Avellino,Avellino,Via Lorenzo Ferrante 128,Procura della Repubblica,Napoli,59759/2004,Penale,Società a responsabilità limitata,Costruzioni,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,47110,2019,31/10/2019
A-BA-159754,,aziende,Puglia,Bari,Modugno,"S.S.96 - VIA OBERDAN 68/B,",Tribunale,BARI,2/1996,,Impresa individuale,Alberghi e ristoranti,Vendita,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,18,2002,28/01/2002
A-BA-162433,A-BA-28912-S,aziende,Puglia,Bari,Altamura,"C.DA GRECIULLI,",Tribunale,BARI,10/2003,Prevenzione,Altro,Alberghi e ristoranti,Cessione gratuita,Ministeri,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,9634,2016,07/03/2016
A-BA-164718,A-BA-9629-S,aziende,Puglia,Bari,Bari,"VIA PADRE PIO N. 3,",Tribunale,BARI,11/2003,Prevenzione,Società in nome collettivo,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,361,2008,30/07/2008
A-BA-1668,A-BA-13779-S,aziende,Puglia,Bari,Bari,"VIA SPARANO 79,",Tribunale,BARI,8/1995,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,57,1997,12/11/1997
A-BA-186608,A-BA-13096-S,aziende,Puglia,Bari,Bari,"VIA GIULIO PETRONI 35/E,",Tribunale,BARI,7/2001,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,173,2009,25/05/2009
A-BA-188737,A-BA-13099-S,aziende,Puglia,Bari,Modugno,"VIA GLADIOLI C.DA MACCHIA LAMPONE,",Tribunale,BARI,7/2001,Prevenzione,Società a responsabilità limitata,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,131,2006,18/09/2006
A-BA-189871,A-BA-29040-S,aziende,Puglia,Bari,Bari,"VIA AMENDOLA 170/5,",Procura della Repubblica,BARI,2/2005,Penale,Società a responsabilità limitata,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,186,2000,25/10/2000
A-BA-193835,A-BA-29014-S,aziende,Puglia,Bari,Bari,"VIA AMENDOLA 170/5,",Procura della Repubblica,BARI,3/2005,Penale,Società a responsabilità limitata,"Attività immobiliari, noleggio, informatica, ricerca, servizi alle imprese",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,567,2008,30/12/2008
A-BA-225589,,aziende,Puglia,Bari,Adelfia,"VIA SANTA MARIA DELLA STELLA 52 CAP 70010,",Tribunale,BARI,1/2005,,Società in accomandita semplice,Alberghi e ristoranti,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,121,2006,05/08/2006
A-BA-230995,A-BA-12724-S,aziende,Puglia,Bari,Bitritto,VIA GIOVANNI VERGA,Procura della Repubblica,Bari,6543/2002,Penale,Impresa individuale,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,27528,2018,15/06/2018
A-BA-241173,A-BA-28971-S,aziende,Puglia,Bari,Bari,"TRAVERSA VIA AMENDOLA 170/5,",Tribunale,BARI,161/2007,Prevenzione,Società a responsabilità limitata,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,103,2001,21/06/2001
A-BA-248606,A-BA-14313-S,aziende,Puglia,Bari,Acquaviva delle Fonti,"VIA ROMA,",Tribunale,BARI,38/2007,Prevenzione,Società a responsabilità limitata,Alberghi e ristoranti,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,103,2006,27/07/2006
A-BA-251076,A-BA-25717-S,aziende,Puglia,Bari,Bari,VIA NAPOLI 355/A,Tribunale,Bari,168/2008,Prevenzione,Società in accomandita semplice,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,27526,2018,15/06/2018
A-BA-283818,A-BA-13489-S,aziende,Puglia,Bari,Bari,VIA GIULIO PETRONI 87/12,Tribunale,Bari,1/2012,Prevenzione,Società a responsabilità limitata,"Altri servizi pubblici, sociali e personali",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,33001,2016,25/07/2016
A-BA-284764,,aziende,Puglia,Bari,Acquaviva delle Fonti,"VIA ROMA 104/D,",Tribunale,BARI,2/2012,,Impresa individuale,,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,41435,2015,06/11/2015
A-BA-299818,A-BA-15946-S,aziende,Puglia,Bari,Bari,STRADA SANTA CATERINA N. 36,Tribunale,Bari,177/2010,Prevenzione,Società a responsabilità limitata,,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,24215,2015,29/06/2015
A-BA-299843,A-BA-15574-S,aziende,Puglia,Bari,Valenzano,VIA PIGNA,Tribunale,Bari,325/2009,Prevenzione,Società a responsabilità limitata,"Attività immobiliari, noleggio, informatica, ricerca, servizi alle imprese",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,24398,2016,31/05/2016
A-BA-299844,A-BA-15575-S,aziende,Puglia,Bari,Bari,VIA UNIT? D'ITALIA,Tribunale,Bari,325/2009,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,24397,2016,31/05/2016
A-BA-299845,A-BA-15576-S,aziende,Puglia,Bari,Valenzano,CORSO ALDO MORO,Tribunale,Bari,325/2009,Prevenzione,Società a responsabilità limitata,,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,24174,2016,30/05/2016
A-BA-299850,A-BA-15580-S,aziende,Puglia,Bari,Cellamare,VIA SANT'AMATORE,Tribunale,Bari,325/2009,Prevenzione,Società a responsabilità limitata,,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,24192,2016,30/05/2016
A-BA-300252,A-BA-9367-S,aziende,Puglia,Bari,Gravina in Puglia,VIA RAGNI 118,Tribunale,Bari,195/2013,Prevenzione,Impresa individuale,"Altri servizi pubblici, sociali e personali",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,0,2019,24/10/2019
A-BA-306420,A-BA-55739-S,aziende,Puglia,Bari,Bari,PIAZZA ALDO MORO N.50/A,Tribunale,Bari,43/2012,Prevenzione,Società a responsabilità limitata,Alberghi e ristoranti,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,27535,2018,15/06/2018
A-BA-306586,A-BA-9462-S,aziende,Puglia,Bari,Bari,"VIALE CONCILIO VATICANO II ,29/31",Tribunale,Bari,81/2012,Prevenzione,Impresa individuale,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,31751,2019,15/07/2019
A-BA-310989,A-BA-9684-S,aziende,Puglia,Bari,Bari,VIA DUOMO FRAZIONE CARBONARA,Procura della Repubblica,Bari,17921/2005,Penale,Impresa individuale,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,27531,2018,15/06/2018
A-BA-314663,A-BA-48657-S,aziende,Puglia,Bari,Modugno,"VIA CORNOLE DI RUCCIA, 54",Procura della Repubblica,BARI,3551/2008,Penale,Società a responsabilità limitata,,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,13208,2016,25/03/2016
A-BA-314664,A-BA-48658-S,aziende,Puglia,Bari,Modugno,"CORNOLE DI RUCCIA , 54",Procura della Repubblica,BARI,3551/2008,Penale,Società a responsabilità limitata,,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,13207,2016,25/03/2016
A-BA-314665,A-BA-48659-S,aziende,Puglia,Bari,Modugno,"CORNOLE DI RUCCIA, 54",Procura della Repubblica,BARI,3551/2008,Penale,Società in accomandita semplice,,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,22982,2016,23/05/2016
A-BA-314689,A-BA-48660-S,aziende,Puglia,Bari,Modugno,"CORNOLE DI RUCCIA, 54",Procura della Repubblica,BARI,3551/2008,Penale,Società in accomandita semplice,,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,13206,2016,25/03/2016
A-BA-325488,A-BA-49123-S,aziende,Puglia,Bari,Triggiano,via Casalino 193,Procura della Repubblica,Bari,3551/2008,Penale,Società in accomandita semplice,"Trasporti, magazzinaggio e comunicazioni",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,27532,2018,15/06/2018
A-BA-325490,A-BA-49125-S,aziende,Puglia,Bari,Bari,VIA DELLE MEDAGLIE D'ORO 4/B,Procura della Repubblica,Bari,3551/2008,Penale,Società in accomandita semplice,Alberghi e ristoranti,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,27525,2018,15/06/2018
A-BA-326549,A-BA-49136-S,aziende,Puglia,Bari,Adelfia,via B. Turi n. 25/D,Procura della Repubblica,Bari,6032/2006,Penale,Impresa individuale,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,27530,2018,15/06/2018
A-BA-32965,A-BA-13790-S,aziende,Puglia,Bari,Bari,"VIA DIETA DI BARI 36/G,",Tribunale,BARI,8/1995,Prevenzione,Società a responsabilità limitata,Sanità e assistenza sociale,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,5,1985,01/06/1985
A-BA-344399,A-BA-78004-S,aziende,Puglia,Bari,Bari,VIA ANDREA DA BARI 128,Tribunale,Bari,224/2010,Prevenzione,Società a responsabilità limitata,Attività finanziarie,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,44787,2019,24/10/2019
A-BA-37818,,aziende,Puglia,Bari,Polignano a Mare,"VIA DON L. STURZO NC CAP 70044,",Tribunale,BARI,10/2000,,Società in accomandita semplice,Alberghi e ristoranti,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,556,2008,22/12/2008
A-BG-306104,A-BG-37009-S,aziende,Lombardia,Bergamo,Bergamo,VIA BORGO PALAZZO 106,Tribunale,Roma,3/2014,Prevenzione,Società a responsabilità limitata,Alberghi e ristoranti,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,18411,2021,29/03/2021
A-BG-335113,A-BG-44183-S,aziende,Lombardia,Bergamo,Treviglio,"Ortigiara,32",Tribunale,Reggio Calabria,46/2013,Prevenzione,Società a responsabilità limitata,"Altri servizi pubblici, sociali e personali",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,13435,2019,25/03/2019
